ticker,shares
AMLP,3.0
ETHA,55.98726
IBIT,21.88843
IGV,6.05974
INDA,19.83608
ITOT,11.36841
JEPQ,24.0
JMOM,7.4485
JQUA,21.59919
MLPA,20.06477
MTUM,4.0
PRF,81.9554
RSP,1.0
SGOV,3.42149
SPLV,17.61101
VHT,3.0
